iter	Passed	Remaining
0	1	116
1	2	102
2	2	96
3	3	91
4	4	92
5	5	89
6	6	88
7	7	86
8	8	85
9	9	85
10	10	84
11	11	82
12	12	81
13	13	80
14	14	79
15	14	78
16	15	77
17	16	76
18	17	75
19	18	74
20	19	73
21	20	72
22	21	71
23	21	69
24	22	68
25	23	66
26	24	65
27	25	64
28	25	63
29	26	61
30	27	60
31	27	59
32	28	57
33	29	56
34	29	55
35	30	54
36	31	52
37	31	51
38	32	50
39	32	49
40	33	48
41	33	46
42	34	45
43	34	44
44	35	43
45	35	42
46	36	40
47	36	39
48	37	38
49	37	37
50	38	36
51	38	35
52	39	34
53	39	33
54	40	32
55	40	31
56	40	30
57	41	29
58	41	29
59	42	28
60	42	27
61	43	26
62	43	25
63	43	24
64	44	23
65	44	23
66	45	22
67	45	21
68	45	20
69	46	19
70	46	19
71	46	18
72	47	17
73	47	16
74	47	15
75	48	15
76	48	14
77	48	13
78	49	13
79	49	12
80	49	11
81	50	11
82	50	10
83	50	9
84	51	9
85	51	8
86	51	7
87	52	7
88	52	6
89	52	5
90	52	5
91	53	4
92	53	4
93	53	3
94	54	2
95	54	2
96	54	1
97	54	1
98	55	0
99	55	0
