iter	Passed	Remaining
0	46	46419
1	46	23375
2	47	15763
3	47	11899
4	48	9713
5	49	8161
6	49	7034
7	49	6193
8	50	5553
9	50	5028
10	51	4593
11	51	4229
12	51	3923
13	52	3663
14	52	3458
15	53	3279
16	53	3120
17	54	2977
18	55	2853
19	56	2753
20	56	2648
21	57	2553
22	58	2466
23	58	2385
24	59	2311
25	59	2245
26	60	2183
27	62	2155
28	62	2102
29	63	2048
30	64	2009
31	64	1962
32	65	1917
33	65	1873
34	66	1833
35	67	1794
36	67	1757
37	68	1722
38	68	1692
39	69	1665
40	69	1636
41	70	1609
42	71	1581
43	71	1553
44	71	1526
45	72	1500
46	72	1474
47	73	1450
48	73	1427
49	73	1405
50	74	1385
51	75	1367
52	75	1348
53	75	1330
54	76	1312
55	76	1296
56	77	1279
57	77	1263
58	78	1249
59	78	1234
60	79	1219
61	79	1204
62	80	1191
63	80	1177
64	80	1163
65	81	1150
66	81	1137
67	82	1125
68	82	1114
69	82	1101
70	83	1089
71	83	1078
72	84	1066
73	84	1055
74	84	1044
75	85	1033
76	85	1023
77	85	1012
78	85	1002
79	86	991
80	86	981
81	86	972
82	87	961
83	87	952
84	87	943
85	87	934
86	88	926
87	88	917
88	88	909
89	89	901
90	89	895
91	89	887
92	90	881
93	90	874
94	91	866
95	91	859
96	91	852
97	91	845
98	92	839
99	92	832
100	92	826
101	93	820
102	93	815
103	93	809
104	94	807
105	95	801
106	95	796
107	95	792
108	96	786
109	96	780
110	96	775
111	97	769
112	97	764
113	97	758
114	97	753
115	98	748
116	98	742
117	98	737
118	98	732
119	99	727
120	99	723
121	99	717
122	100	713
123	100	708
124	100	704
125	100	700
126	101	695
127	101	691
128	101	687
129	102	683
130	102	680
131	102	676
132	103	672
133	103	668
134	103	664
135	104	660
136	104	656
137	104	653
138	104	649
139	105	645
140	105	642
141	106	641
142	106	638
143	106	635
144	107	632
145	108	633
146	108	631
147	109	628
148	109	625
149	109	622
150	110	619
151	110	616
152	110	613
153	111	610
154	111	607
155	111	604
156	111	601
157	112	598
158	112	595
159	112	592
160	113	589
161	113	586
162	113	583
163	114	581
164	114	578
165	114	575
166	114	573
167	115	570
168	115	568
169	115	565
170	116	562
171	116	560
172	116	557
173	116	555
174	117	552
175	117	550
176	117	547
177	118	545
178	118	543
179	118	540
180	119	538
181	119	536
182	119	534
183	120	532
184	120	530
185	121	531
186	121	529
187	122	528
188	122	527
189	123	525
190	123	524
191	124	523
192	124	521
193	125	519
194	125	518
195	125	516
196	126	514
197	126	512
198	126	510
199	127	509
200	127	507
201	127	505
202	128	503
203	128	501
204	128	499
205	129	497
206	129	496
207	129	494
208	130	492
209	130	490
210	130	488
211	130	486
212	131	485
213	131	483
214	131	481
215	132	479
216	132	478
217	132	476
218	133	474
219	133	472
220	133	471
221	133	469
222	134	467
223	134	466
224	134	464
225	135	463
226	135	461
227	136	460
228	136	459
229	136	457
230	137	456
231	137	454
232	137	453
233	138	452
234	138	450
235	138	449
236	139	447
237	139	446
238	139	444
239	139	443
240	140	441
241	140	440
242	140	438
243	141	437
244	141	436
245	141	434
246	142	433
247	143	435
248	144	434
249	144	433
250	144	432
251	145	430
252	145	429
253	145	428
254	146	426
255	146	425
256	146	424
257	147	422
258	147	421
259	147	420
260	148	419
261	148	417
262	148	416
263	148	415
264	149	414
265	149	412
266	149	411
267	150	410
268	150	409
269	150	408
270	151	408
271	152	407
272	152	406
273	152	404
274	153	403
275	153	402
276	153	401
277	154	400
278	154	399
